Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-206,2000,34,28,2311,25.7,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,148,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Paxten Aaronson,us USA,MFDF,Eint Frankfurt,de Bundesliga,19-263,2003,6,0,141,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,6,11,0,0,0,0,0,0.11,0.03,0.14,0.11,0.14,Matches,4cd41883
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-120,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4b7a9fcc
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-230,1987,35,35,3150,35,1,1,2,1,0,0,5,0,2.3,2.3,1,3.3,35,203,9,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.09,0.07,0.09,Matches,32c2d95f
5,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-180,1999,27,21,1873,20.8,0,2,2,0,0,0,3,0,1.2,1.2,2.5,3.7,52,128,99,0,0.1,0.1,0,0.1,0.06,0.12,0.18,0.06,0.18,Matches,7978cbf0
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-051,2000,30,30,2624,29.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,30,146,41,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,Matches,82464ce3
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-104,1993,26,25,2079,23.1,0,1,1,0,0,0,6,1,0.4,0.4,1.2,1.6,10,119,11,0,0.04,0.04,0,0.04,0.02,0.05,0.07,0.02,0.07,Matches,31626657
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-340,1996,10,6,557,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,14,7,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches,8f5cdf66
9,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-049,2003,17,8,777,8.6,2,1,3,1,1,2,0,0,3.2,1.7,0.7,2.4,12,8,45,0.23,0.12,0.35,0.12,0.23,0.38,0.08,0.46,0.19,0.27,Matches,0e46fa2f
10,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-049,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,4,2,11,0.84,0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches,0e46fa2f
11,Abner,br BRA,DF,Betis,es La Liga,22-354,2000,11,5,438,4.9,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,5,12,16,0,0,0,0,0,0.35,0.03,0.37,0.35,0.37,Matches,7f9c5d2d
12,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-087,2000,34,27,2325,25.8,8,5,13,8,0,0,4,0,10.1,10.1,3.1,13.2,93,64,256,0.31,0.19,0.5,0.31,0.5,0.39,0.12,0.51,0.39,0.51,Matches,c2a6033c
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-226,1997,35,24,2137,23.7,8,3,11,8,0,0,2,0,10.8,10.8,3.5,14.3,35,51,136,0.34,0.13,0.46,0.34,0.46,0.45,0.15,0.6,0.45,0.6,Matches,f586779e
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-313,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,771a2cfe
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-095,1988,28,24,2275,25.3,0,2,2,0,0,0,4,0,0.8,0.8,1.1,2,38,100,32,0,0.08,0.08,0,0.08,0.03,0.04,0.08,0.03,0.08,Matches,b96b595c
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-294,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,be6faae0
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-120,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,2,3,1,0,0,0,0,0,0.3,0.08,0.39,0.3,0.39,Matches,1e93fc5d
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-200,1991,27,19,1744,19.4,3,2,5,3,0,0,10,2,1.1,1.1,3.9,5,42,97,85,0.15,0.1,0.26,0.15,0.26,0.06,0.2,0.26,0.06,0.26,Matches,81442ecb
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-307,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42,Matches,f2bf1b0f
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-091,1999,24,24,2156,24,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,2b09d998
21,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-358,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,Matches,2.29E+101
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-234,1997,23,21,1905,21.2,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1,16,88,3,0.05,0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,c81d773d
23,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-165,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,3,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,7587446d
24,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-118,2002,22,18,1276,14.2,6,5,11,6,0,1,8,0,4.9,4.1,3.7,7.8,46,45,125,0.42,0.35,0.78,0.42,0.78,0.34,0.26,0.6,0.29,0.55,Matches,501055d8
25,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,23-006,2000,24,14,1362,15.1,4,3,7,4,0,0,2,1,4.5,4.5,1.7,6.2,45,49,128,0.26,0.2,0.46,0.26,0.46,0.3,0.11,0.41,0.3,0.41,Matches,dcfb17f4
26,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-291,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0,0,0,0,0,0.05,0.16,0.22,0.05,0.22,Matches,26777636
27,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-130,1997,29,16,1361,15.1,1,0,1,1,0,0,3,0,1.3,1.3,0.6,1.8,12,36,77,0.07,0,0.07,0.07,0.07,0.08,0.04,0.12,0.08,0.12,Matches,f9c927de
28,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-117,2003,22,7,802,8.9,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,21,8,54,0,0,0,0,0,0.21,0.02,0.23,0.21,0.23,Matches,0154d290
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-333,1997,27,25,2245,24.9,0,2,2,0,0,0,5,2,1.7,1.7,2.2,3.8,15,125,8,0,0.08,0.08,0,0.08,0.07,0.09,0.15,0.07,0.15,Matches,75f1ed80
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-141,2000,7,6,585,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a2c1a8d3
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-096,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0,0.08,0.08,0,0.08,0.07,0.09,0.16,0.07,0.16,Matches,8bc8829a
